t,ip,ne,te,ti,we,wi,nbi,ech,pOhm,pLoss,pRad,tauE,pressure,beta,energyError,particleError
3.3000000000000003,1.2,6.23249107959098,0.8273030070135288,0.8003124930906782,0.2863696560439173,0.2770269314037192,4,1,0.2522321578418487,4.296478384354122,0.04363564640510208,0.13112985497594454,16252.638527614228,1.021183395996066,1.4276104616935075e-15,-2.587723225967459e-14
3.3200000000000003,1.2,6.241050088509655,0.8264969830235782,0.7994876822815649,0.2864835371163871,0.27712147026006867,4,1,0.25260122403385926,4.296888274874808,0.0437342571041327,0.13116585103504386,16258.650942031565,1.0215611671353428,1.946729326998309e-15,-2.6648184249847784e-14
3.34,1.2,6.249502709620529,0.8257028821135253,0.7986750845084889,0.2865959115362528,0.27721474494566833,4,1,0.25296571183012173,4.297292745245497,0.04383172905973988,0.13120136092792806,16264.583424849397,1.0219339160241039,1.7552357099042304e-15,-2.7239440958858707e-14
3.36,1.2,6.257850265315681,0.8249205021147041,0.7978744924112592,0.2867068004928378,0.2773067735953432,4,1,0.25332567784983767,4.2976918717585155,0.043928074242009806,0.13123639174657714,16270.437110474953,1.0223017139392572,1.915047826665745e-15,-2.7823093702994595e-14
3.38,1.2,6.26609406154997,0.8241496449924081,0.7970857028752975,0.28681622484252606,0.2773975740494922,4,1,0.25368117801852486,4.298085729497763,0.04402330452756555,0.13127095046518475,16276.213115217499,1.022664631020583,2.072278636312355e-15,-2.8147967098486837e-14
3.4,1.2,6.274235388045333,0.8233901167421075,0.7963085169249796,0.286924205115011,0.277487163859868,4,1,0.2540322675762353,4.298474392362285,0.044117431699310594,0.1313050439425089,16281.912537635284,1.0230227362925313,2.0556829458947755e-15,-2.863519916730624e-14
3.42,1.2,6.282275518492569,0.8226417272887936,0.7955427396201852,0.2870307615193922,0.27757556029520886,4,1,0.254379001085693,4.298857933089182,0.04421046744621242,0.13133867892416534,16287.536458873945,1.0233760976854862,2.039349655165036e-15,-2.8785416831429457e-14
3.44,1.2,6.290215710750595,0.8219042903893484,0.7947881799559584,0.28713591395012844,0.2776627803467308,4,1,0.25472143244034895,4.299236423275907,0.04430242336312461,0.1313718620448645,16293.085942996606,1.0237247820565054,2.191878656100473e-15,-2.959133628981256e-14
3.46,1.2,6.298057207043246,0.8211776235378286,0.7940446507651608,0.28723968199284894,0.277748840733482,4,1,0.2550596148723557,4.299609933401947,0.0443933109506463,0.13140459983059427,16298.562037306025,1.024068855209562,2.3420201347954146e-15,-3.055058605318706e-14
3.48,1.2,6.305801234153609,0.8204615478735672,0.793311968624022,0.2873420849300295,0.27783375790756737,4,1,0.25539360096045843,4.299978532849951,0.04448314161501724,0.13143689870074962,16303.96577265904,1.0244083819153016,2.1578521726158203e-15,-3.117323628826882e-14
3.5,1.2,6.31344900361596,0.8197558880919946,0.7925899537604827,0.28744314174653685,0.2779175480592444,4,1,0.25572344263780483,4.300342289926297,0.04457192666804737,0.13146876497021145,16309.298163773503,1.024743425930327,2.3059401643718006e-15,-3.162686219482776e-14
